artist_name,title,release,tags
b'Willie Bobo',b'Spanish Grease',"b""Willie Bobo's Finest Hour""","[['latin', '100'], ['jazz', '61'], ['latin jazz', '55'], ['Soundtrack', '27'], ['Latin-jazz', '16'], ['test', '16'], ['fonky jazz', '11'], ['jazz funk', '11'], ['timbales', '11'], ['Cocktails at Sunset', '11'], ['latinjazz', '11'], ['lounge', '11'], ['paradise', '5'], ['streamable track wants', '5'], ['That song', '5'], ['spanisch', '5'], ['meglep', '5'], ['Velour Sidecar', '5'], ['i feel good', '5'], ['swishin jazz', '5'], ['metro funky', '5'], ['hot barbecue', '5'], ['eastofbowery', '5'], ['fonky soul jazz', '5'], ['fonky afro-cuban jazz', '5'], ['fonky latin jazz', '5'], ['merecumbeat', '5'], ['percussion lush', '5'], ['guarara', '5'], ['salsa October 09', '5'], ['till you come to me', '5'], ['kss1984 - excellent', '5'], ['Jazz Vocal Tag', '5'], ['drjazzmrfunkmusic', '5'], ['great', '5'], ['funk', '5'], ['vocal', '5'], ['horns', '5'], ['good', '5'], ['american', '5'], ['happy', '5'], ['beautiful', '5'], ['Favourites', '5'], ['Favorite', '5'], ['smooth', '5'], ['world', '5'], ['latino', '5'], ['salsa', '5'], ['latin house', '5'], ['big voice', '5'], ['boogaloo', '5'], ['love at first listen', '5'], ['chorus', '5'], ['recommend', '5'], ['cinema', '5'], ['deserves another listen', '5'], ['reggae ska', '5'], ['bien', '5'], ['cool vibe', '5'], ['but the hike aint far', '0'], ['Tanto Tempo - Great 3', '0'], ['TantoTempo-Greats', '0'], ['downtempo', '0'], ['chillout', '0'], ['so cool', '0'], ['rustycanuckforspp', '0'], ['TantoTempoGreats', '0'], ['tantotempotaste', '0'], ['more cowbell', '0'], ['the party where everyone laughed', '0'], ['DSJ-loved-tracks', '0'], ['carnem l', '0']]"
b'Faye Adams',b'Crazy Mixed Up World',b'Shake A Hand',[]
b'Terry Callier',b'Do You Finally Need A Friend',b'Occasional Rain',"[['soul', '100'], ['cinematic', '100'], ['sunday', '100'], ['rainy music', '100'], ['melancoholic', '100'], ['the smokey life', '100'], ['blax', '100'], ['folk', '50'], ['terry callier', '50'], ['soffrii negroo', '50'], ['sm other', '50']]"
b'John Wesley',b'The Emperor Falls',b'The Emperor Falls',"[['favourite', '100'], ['fave songs', '100']]"
b'The Shangri-Las',b'Twist and Shout',b'Best of The Shangri-Las',[]
b'Billie Jo Spears',b'It Makes No Difference Now',b'20 Of Her Best',"[['country', '100'], ['memories', '100']]"
"b""Mike Jones (Featuring CJ_ Mello & Lil' Bran)""",b'Laws Patrolling (Album Version)',b'Who Is Mike Jones?',[]
b'Sierra Maestra',b'\xc2\xbfD\xc3\xb3nde va Chichi?',b'Tibiri Tabara',"[['cuba', '100']]"
b'Butthole Surfers',"b'Barking Dogs (From ""Piouhgd"")'",b'Piouhgd + Widowermaker!',[]
b'Despina Vandi',b'OUTE ENA EFHARISTO',b'Profities',[]
b'Javier Navarrete',b'Midnight Swim',b'Cracks',"[['beautiful', '100'], ['ost', '100']]"
b'Jacob Young',b'In A Subtle Way',b'Pieces Of Time',[]
"b""Scarlet's Remains""",b'Spin',b'The Palest Grey',"[['batcave', '100'], ['deathrock', '80'], ['minemine', '20'], ['metallis', '20']]"
b'The Suicide Machines',b'Burning In The Aftermath',b'A Match & Some Gasoline',"[['political', '100'], ['ska punk', '100']]"
b'The Rolling Stones',b'Angie (1993 Digital Remaster)',"b""Jump Back - The Best Of The Rolling Stones_ '71-'93""","[['classic rock', '100'], ['rock', '61'], ['70s', '43'], ['the rolling stones', '40'], ['Ballad', '30'], ['british', '12'], ['Angie', '9'], ['rolling stones', '9'], ['oldies', '9'], ['60s', '8'], ['rock ballads', '7'], ['beautiful', '6'], ['Love', '6'], ['rock ballad', '6'], ['blues', '4'], ['romantic', '4'], ['favorites', '4'], ['1973', '4'], ['male vocalists', '3'], ['blues rock', '3'], ['classic', '3'], ['sad', '3'], ['ballads', '3'], ['best songs ever', '2'], ['Legendary', '2'], ['Rock and Roll', '2'], ['Stones', '2'], ['melancholy', '2'], ['what a voice', '2'], ['guitar', '2'], ['genius', '2'], ['pop', '2'], ['hard rock', '2'], ['Required Listening', '1'], ['love rock', '1'], ['truly timeless', '1'], ['soft rock', '1'], ['melancholic', '1'], ['layers upon layers of beauty', '1'], ['male vocalist', '1'], ['this stuff could move mountains', '1'], ['pure magic', '1'], ['love songs', '1'], ['best', '1'], ['love song', '1'], ['lovely', '1'], ['acoustic', '1'], ['piano', '1'], ['golden oldies', '1'], ['memories', '1'], ['names', '1'], ['slow', '1'], ['fucking brilliant', '1'], ['80s', '1'], ['british invasion', '0'], ['love music', '0'], ['great', '0'], ['Favourites', '0'], ['Favourite Songs', '0'], ['british rock', '0'], ['favs', '0'], ['delphine', '0'], ['favourite', '0'], ['relax', '0'], ['my soundtrack', '0'], ['easy listening', '0'], ['the best', '0'], ['great song', '0'], ['All time favourites', '0'], ['Reflective', '0'], ['718 Love', '0'], ['Bittersweet', '0'], ['UK', '0'], ['rock n roll', '0'], ['party', '0'], ['top 2000', '0'], ['soft music', '0'], ['break up', '0'], ['Dreamy', '0'], ['Baladas', '0'], ['soft', '0'], ['england', '0'], ['perfect', '0'], ['the rolling stones - angie', '0'], ['rock like it should be', '0'], ['top 40', '0'], ['blue', '0'], ['Mellow', '0'], ['amour', '0'], ['tiadoro  zuando legal Wus', '0'], ['evergreen', '0'], ['balada', '0'], ['the best of rock', '0'], ['sexy', '0'], ['downtempo', '0'], ['good', '0'], ['Awesome', '0'], ['q4jslfm', '0'], ['male', '0'], ['goats head soup', '0']]"
b'Roberto Torres',b'Sabor Guajiro',b'Lo Mejor con La Orq. Broadway',[]
b'Loudon Wainwright III',b'Human Cannonball',b'Grown Man',[]
b'R.L. Burnside',b'Glory Be',b'A Bothered Mind',"[['blues rock', '100'], ['electric blues', '50'], ['modern electric blues', '50'], ['personal favourites', '50'], ['Electric Delta Blues', '50'], ['Willis', '50'], ['Delta Blues greats', '50'], ['country blues guitar greats', '50'], ['MJ - my bluez time', '0'], ['late night', '0'], ['yolala indie fav', '0'], ['rustycanuckmixedblues', '0']]"
b'Stevie Ray Vaughan',b'Crossfire',b'Greatest Hits',"[['blues', '100'], ['blues rock', '96'], ['rock', '40'], ['guitar', '29'], ['classic rock', '19'], ['Awesome Guitar Jams', '17'], ['Texas Blues', '14'], ['stevie ray vaughan', '14'], ['blues-rock', '10'], ['usa hot mainstream rock tracks number one hit', '8'], ['Festa', '8'], ['guitar virtuoso', '7'], ['texas', '5'], ['allboutguitar', '5'], ['electric blues', '5'], ['male vocalist', '5'], ['eric clapton', '5'], ['rustica blues', '5'], ['classic rock style', '3'], ['Jam Bands', '3'], ['rock n roll', '3'], ['bluesrock', '3'], ['week end party', '3'], ['hard rock', '3'], ['pop', '3'], ['classic', '3'], ['Rhythm n blues', '3'], ['Kim-QueenMiX', '1'], ['non-pop', '1'], ['brain2brain', '1'], ['maschio', '1'], ['maschi', '1'], ['Voci maschili', '1'], ['bass list', '1'], ['voce maschile', '1'], ['occhi a cuoricino', '1'], ['radyo odtu', '1'], ['Texas blues-rock', '1'], ['imprezowe', '1'], ['moja djecica', '1'], ['one star', '1'], ['favourite songs i dont have', '1'], ['non-blues', '1'], ['bal76b', '1'], ['non-easy-listening', '1'], ['andyr1957', '1'], ['non-texas-blues', '1'], ['Taras Favourite Tracks', '1'], ['monstermufucka', '1'], ['radio berlin', '1'], ['Radio Karlsruhe', '1'], ['Gitarrenunterricht', '1'], ['gitarrenunterricht in karlsruhe', '1'], ['Gitarrenunterricht Berlin', '1'], ['work jams', '1'], ['sr vaughan crossfire', '1'], ['great', '1'], ['Berlin', '1'], ['70s', '1'], ['dance', '1'], ['Awesome', '1'], ['american', '1'], ['relaxing', '1'], ['Jam', '1'], ['Guitar Gods', '1'], ['laid back', '1'], ['male vocalists', '1'], ['boogie', '1'], ['mooi', '1'], ['chillin', '1'], ['kytara', '1'], ['reminds me of phil', '1'], ['Karlsruhe', '1'], ['Stevie Ray Vaughn', '1'], ['slgdmbestof', '1'], ['greatest hits', '1'], ['dad', '1'], ['oozzoozzmmsskk', '1'], ['memphis', '1'], ['Guitar Hero', '1'], ['seen live', '0'], ['crossfire', '0'], ['rustycanuckloved', '0'], ['wrif-fm', '0'], ['ws2010 - 7', '0'], ['MJ-Lurrrvved Tunage', '0'], ['rustycanuckarchive', '0'], ['guitarartist', '0'], ['Lauf', '0'], ['3-star', '0'], ['blue blues', '0'], ['Tulsa swingdance club', '0'], ['West Coast swing', '0'], ['Southern Blues Rock', '0'], ['stevie', '0'], ['classica', '0'], ['Pop Life', '0'], ['sweet', '0'], ['Southern Rock', '0'], ['easy listening', '0']]"
b'John Hammond',"b""I Can't Be Satisfied""",b'Bluesman',[]
b'Casiotone For The Painfully Alone',b'Nashville Parthenon',b'Etiquette',"[['Lo-Fi', '100'], ['indie', '69'], ['indietronica', '46'], ['electronic', '46'], ['8-bit', '30'], ['chill', '23'], ['perfect for lately', '15'], ['the desperate kingdom of love', '15'], ['emotionless emotion', '15'], ['casio', '15'], ['casiotone', '15'], ['experimental', '15'], ['brings back memories', '7'], ['pretty cool', '7'], ['prda', '7'], ['Songs from 2006', '7'], ['FOTMP TEMP', '7'], ['re', '7'], ['pop', '7'], ['dawardochnoch', '7'], ['toytronica', '7'], ['chillout', '7'], ['LIBERACE GAY', '7'], ['vool', '7'], ['daytrotter', '7'], ['sickkk', '7'], ['so fucking cute', '7'], ['hmm sodermanland', '7'], ['zeromusic', '7'], ['chasing the mean reds', '7'], ['GAYYYYY', '7'], ['indieindieindie', '7'], ['Dancing in my undies', '7'], ['altparty', '7'], ['ifpopdidntmeanbritneyspears', '7'], ['AUTOILUMUSAA', '7'], ['Im going to get on my bicycle and not stop until i find somewhere nicer than here', '7'], ['Love', '7'], ['quirky', '7'], ['american', '7'], ['happy', '7'], ['beautiful', '7'], ['keyboards', '7'], ['USA', '7'], ['esoteric', '7'], ['weird', '7'], ['emotional', '7'], ['00s', '7'], ['electro-pop', '7'], ['male vocals', '7'], ['tomlab', '7'], ['twee', '7'], ['drum machine', '7'], ['male vocalist', '7'], ['sing', '7'], ['folktronic', '7'], ['cute cute cute', '7'], ['indie pop', '7'], ['hearts', '7'], ['Top song', '7'], ['about me', '7'], ['cities', '7'], ['neat', '7'], ['electro', '0'], ['nostalgia', '0'], ['Crazy cute', '0']]"
b'Ec8or',b'Cocain Ducks',b'Ec8or',"[['digital hardcore', '100'], ['electro punk', '50'], ['electronic', '50'], ['ec8or - cocaine ducks', '33'], ['hip-hop-inspired', '33'], ['Ec8or', '33'], ['electro rock', '33'], ['electropunk', '33'], ['Drum n Bass', '33'], ['duo', '33'], ['dnb', '33'], ['electronic rock', '33'], ['Drum and bass', '33'], ['jungle', '33'], ['punk rock', '33'], ['electro', '33'], ['breakcore', '33'], ['electronica', '33'], ['rock', '33'], ['goth rock', '33'], ['female vocalist', '33'], ['goth', '33'], ['german', '33'], ['1990s', '16'], ['power noise', '16'], ['hardcore', '16'], ['Electro-Goth', '16'], ['co', '16'], ['industrial electro', '16'], ['musical journey', '16'], ['techno-inspired', '16'], ['cobra killer', '16'], ['music producer', '16'], ['punk', '16'], ['Berlin', '16'], ['lemonbabies', '16'], ['aclass', '16'], ['digital', '16'], ['noise', '16'], ['Gabber', '16'], ['1995', '16'], ['cyberpunk', '16'], ['breakbeat', '16'], ['deutsch', '16'], ['hardcore punk', '16'], ['dance', '16'], ['electro-industrial', '16'], ['industrial metal', '16'], ['Lo-Fi', '16'], ['amazing', '16'], ['dj', '16'], ['germany', '16'], ['industrial', '16']]"
b'The New York Dolls',b'Human Being',b'Too Much Too Soon',"[['punk', '100'], ['rock', '75'], ['70s', '56'], ['glam rock', '50'], ['classic rock', '43'], ['punk rock', '43'], ['proto-punk', '43'], ['top rock songs', '18'], ['1970s', '12'], ['1974', '12'], ['proto punk', '12'], ['alternative', '12'], ['glam', '12'], ['dasr selected radio', '6'], ['rock-protopunk', '6'], ['punkeke', '6'], ['top punk songs', '6'], ['early punk', '6'], ['rock over london rock on chicago', '6'], ['chameleon', '6'], ['rythm and blues', '6'], ['new-york', '6'], ['1970s punk', '6'], ['criterio', '6'], ['human being', '6'], ['demod', '6'], ['early-punk', '6'], ['1970s-punk', '6'], ['1970s-american-punk', '6'], ['1970s american punk', '6'], ['1970s new york punk', '6'], ['1970s-new-york-punk', '6'], ['favorite-artists', '6'], ['favorite-artist', '6'], ['metal', '6'], ['Garage Rock', '6'], ['psychedelic', '6'], ['20th Century', '6'], ['New York Punk', '6'], ['Favorite Artists', '6'], ['new york', '6'], ['NYC', '6'], ['rock n roll', '6'], ['energy', '6'], ['Punk-Rock', '6'], ['cbgb', '6'], ['roquero', '6'], ['powerpop', '6'], ['Favorite artist', '6'], [""70's"", '6'], ['glam-rock', '6'], ['Old School Punk', '0'], ['Glam Metal', '0'], ['glam punk', '0'], ['heavy metal', '0'], ['hard rock', '0']]"
b'Eliane Elias',b'The More I See You',b'Bossa Nova Stories',"[['jazz', '100'], ['Bossa Nova', '100'], ['brazil', '66'], ['Mellow', '33'], ['female vocalists', '33'], ['The More I See You', '33']]"
b'Lost Boyz',b'Certain Things We Do',b'Love_ Peace & Nappiness',[]
b'The Germs',b'Forming',b'Germicide',"[['hardcore punk', '100'], ['punk rock', '85'], ['Cacophony', '85'], ['american', '57'], ['la punk', '57'], ['Punk Rock for the Soul', '14'], ['Dave Hiddens Music Box', '14'], ['da nm', '14'], ['transliteracy', '14'], ['dum dum dum', '14'], ['off-tempo', '14'], ['daves faves', '14'], ['wickedness', '14'], ['no radiohead radio', '14'], ['1977', '14'], ['Old School Punk', '14'], ['live', '14'], ['Best music ever', '14'], ['proto-punk', '14'], ['punk', '0'], ['hardcore', '0'], ['best song ever', '0'], ['Morning Caffeine Rush', '0'], ['The Germs - Forming', '0'], ['Classic Punk', '0'], ['California', '0'], ['old school', '0'], ['too-cool-to-be-true', '0']]"
b'Yamandu Costa',b'Mafu\xc3\xa1',b'Mafu\xc3\xa1',[]
b'Chris Rea',b'Driving Home For Christmas',b'The Road To Hell Part 2',"[['christmas', '100'], ['Christmas Songs', '20'], ['xmas', '20'], ['Chris Rea', '17'], ['rock', '12'], ['blues', '10'], ['pop', '7'], ['Weihnachten', '5'], ['classic rock', '5'], ['british', '4'], ['soft rock', '4'], ['male vocalists', '3'], ['x-mas', '3'], ['easy listening', '3'], ['80s', '3'], ['singer-songwriter', '3'], ['Jul', '3'], ['Christmas Music', '2'], ['Driving', '2'], ['oldies', '2'], ['classic', '1'], ['christmas favorites', '1'], ['blues rock', '1'], ['driving home for christmas', '1'], ['holiday', '1'], ['guitar', '1'], ['90s', '1'], ['Love', '1'], ['romantic', '1'], ['brilliant', '1'], ['jazz', '1'], ['natal', '1'], ['Driving Songs', '1'], ['GH baby', '1'], ['england', '1'], ['relax', '1'], ['favourite christmas tunes', '0'], ['best christmas songs', '0'], ['Merry Christmas', '0'], ['500 essential songs', '0'], ['favouritechristmas', '0'], ['natal navidad noel', '0'], ['Weihnachtslieder', '0'], ['easy', '0'], ['bestxmasever', '0'], ['its christmas time', '0'], ['1988', '0'], ['Decade: 80s', '0'], ['Beelloved', '0'], ['favourite', '0'], ['lounge', '0'], ['memory of family', '0'], ['chris rea - driving home for christmas', '0'], ['piano', '0'], ['uk chart Dec 2007', '0'], ['love soul', '0'], ['weihnacht', '0'], ['holidays', '0'], ['funny', '0'], ['uk chart 16 dec 2007', '0'], ['swieta', '0'], ['uk chart 2007', '0'], ['smooth', '0'], ['fhNotBad', '0'], ['rea cris', '0'], ['x', '0'], ['uk chart 23 dec 2007', '0'], ['christmas mood', '0'], ['christmas energic', '0'], ['es weihnachtet sehr', '0'], ['chrimbo', '0'], ['my christmas stuff', '0'], ['teh luv', '0'], ['particular voice', '0'], ['julmusik', '0'], ['a different kinda Christmas', '0'], ['Julemus', '0'], ['julesanger', '0'], ['top 2000', '0'], ['Top Classics', '0'], ['weihnachtslied', '0'], ['home for christmas', '0'], ['i love christmas', '0'], ['lof', '0'], ['greatest rock pop', '0'], ['no se', '0'], ['Loriot', '0'], ['LUDZIK', '0'], ['x-mass', '0'], ['kmem1300', '0'], ['musical christmas joy', '0'], ['klip og klister', '0'], ['best christmas carol', '0'], ['gruchol-christmas', '0'], ['long drive home', '0'], ['lekker kerst', '0'], ['unstreamable yet streamable', '0'], ['kerstboom', '0'], ['beppeotros', '0'], ['lammis', '0']]"
b'Perrey And Kingsley',b'Spooks In Space',b'Vanguard Visionaries',"[['space age pop', '100'], ['moog', '100'], ['chill906', '100'], ['electronic', '50'], ['somafm', '50'], ['illstreet', '50']]"
b'Eurythmics',b'Tous Les Gar\xc3\xa7ons Et Les Filles',b'Be Yourself Tonight',"[['pop', '100'], ['cover', '33'], ['loved tracks', '33'], ['DL', '33'], ['rare tracks', '33'], ['french standard', '33']]"
b'Francis Dunnery',b'Too Much Saturn',b'Hometown 2001',"[['indie', '100'], ['quirky', '100'], ['V-Show', '100'], ['heard on Pandora', '1']]"
b'Suzanne Ciani',b'Stream',b'The Ultimate Most Relaxing New Age Piano in the Universe',"[['instrumental', '100'], ['bali-lugn', '100']]"
b'Vickie Winans',b'Make Me Over',b'Classic Gold: Best of All',[]
b'The Berzerker',b'Deform (live)',b'The Berzerker',"[['grindcore', '100'], ['death metal', '100'], ['industrial metal', '100'], ['cybergrind', '100'], ['Digigrind', '100']]"
b'Kings Of Leon',b'Wicker Chair',b'Holy Roller Novocaine',"[['indie rock', '100'], ['indie', '57'], ['kings of leon', '57'], ['rock', '42'], ['Garage Rock', '42'], ['b-side', '21'], ['alternative', '21'], ['uwielbiam', '14'], ['feels good on the ears', '14'], ['fucking depressing', '14'], ['southern sound', '14'], ['make me feel sad', '14'], ['mellow shit', '14'], ['Best Band EVER', '14'], ['2000s', '14'], ['2003', '14'], ['Favorite', '14'], ['Southern Rock', '14'], ['sad', '14'], ['alternative rock', '14'], ['the very best of 2000 - 2010', '14'], ['die alte indie kiste', '7'], ['favoritlat', '7'], ['halmbalar', '7'], ['destructive appetite', '7'], ['Melancholy World Enders', '7'], ['this song is my anthem', '7'], ['this is SO me', '7'], ['good8', '7'], ['aberrant mental states', '7'], ['nie wyobrazam sobie zycia bez tej piosenki', '7'], ['HilLesha', '7'], ['saddest music in the world', '7'], ['mantelbier', '7'], ['americanamin', '7'], ['cudowny tekst', '7'], ['all my failed romantic interests wrapped up in a beautiful little bow called this song', '7'], ['the case for leaving humanity', '7'], ['lifetime soundtrack', '7'], ['caleb owns', '7'], ['best songs ever done', '7'], ['K is For', '7'], ['truest words to be written in a song', '7'], ['jebcza gitara', '7'], ['blows my head off', '7'], ['zadymione', '7'], ['-3', '7'], ['blues', '7'], ['acoustic', '7'], ['rap', '7'], ['Hip-Hop', '7'], ['indie pop', '7'], ['Favourites', '7'], ['catchy', '7'], ['Heartbreaking', '7'], ['depri', '7'], ['hey', '7'], ['feeling down', '7'], ['my life', '7'], ['Tennessee', '7'], ['rainy days', '7'], ['catchy stuff', '7'], ['kill me', '7'], ['eddie', '7'], ['I could listen to this song forever', '7'], ['100', '7'], ['beautiful melody', '7'], ['where is my mind', '7'], ['Victorash', '7'], ['please save me', '7'], ['ls', '7'], ['Fave Indie Pop', '7'], ['cool as hell', '7'], ['songs i love to sing', '7'], ['all drugged up and nowhere to go', '7'], ['dont do drugs or youll make amazing music like this', '7'], ['Stoner Rock', '0']]"
b'Edith Lefel',"b""An ti chans'""",b'Jeux de dames_ vol. 1 (r\xc3\xa9alisation Ronald Rubinel)',[]
b'Taras',"b""I Will Love Again (JJ's Club Radio)""",b'I Will Love Again',[]
b'NOFX',b'Stickin In My Eye',b'White Trash ......',"[['punk', '100'], ['punk rock', '56'], ['punkrock', '17'], ['nofx', '13'], ['skate punk', '13'], ['boringParty', '8'], ['not emo', '4'], ['California Punk', '4'], ['live punk', '4'], ['90s Skate Punk', '4'], ['do re mi', '4'], ['Drunken donkey', '4'], ['sheeps', '4'], ['Favourite Punk', '4'], ['Kickin Yer Ass', '4'], ['Hans Regeer', '4'], ['nor cal punk', '4'], ['Favorite punk', '4'], ['fat wreck chords', '4'], ['my favorite songs', '4'], ['awsome', '4'], ['Punk-Rock', '4'], ['90s', '4'], ['Post punk', '4'], ['political', '4'], ['alternative', '4'], ['hardcore', '4'], ['rock', '4'], ['seen live', '0']]"
b'Murskahumppa',b'Ota kiinni',b'Murskapunkkia',[]
